,wall_time,name,step,value
0,1677500341.79221,experiment_name/text_summary,0,0.0
1,1677500341.7923036,ds_path/text_summary,0,0.0
2,1677500341.7923467,ds_name/text_summary,0,0.0
3,1677500341.7923894,name_fn/text_summary,0,0.0
4,1677500341.7924256,image_size/text_summary,0,0.0
5,1677500341.7924604,batch_size/text_summary,0,0.0
6,1677500341.792498,epoch_steps/text_summary,0,0.0
7,1677500341.7925322,enable_proxy_attention/text_summary,0,0.0
8,1677500341.792569,change_subset_attention/text_summary,0,0.0
9,1677500341.7926037,num_gpu/text_summary,0,0.0
10,1677500341.7926373,num_cpu/text_summary,0,0.0
11,1677500341.792875,transfer_imagenet/text_summary,0,0.0
12,1677500341.7982526,subset_images/text_summary,0,0.0
13,1677500341.8038027,proxy_threshold/text_summary,0,0.0
14,1677500341.8083847,pixel_replacement_method/text_summary,0,0.0
15,1677500341.8134432,model/text_summary,0,0.0
16,1677500341.8192937,proxy_steps/text_summary,0,0.0
17,1677500341.825124,load_proxy_data/text_summary,0,0.0
18,1677500341.8323262,gradient_method/text_summary,0,0.0
19,1677500341.839803,clear_every_step/text_summary,0,0.0
20,1677500341.8477423,fname_start/text_summary,0,0.0
21,1677500341.8535304,device/text_summary,0,0.0
22,1677500341.8586147,global_run_count/text_summary,0,0.0
23,1677500341.8637407,label_map/text_summary,0,0.0
24,1677500341.8691301,rev_label_map/text_summary,0,0.0
25,1677500341.8753755,num_classes/text_summary,0,0.0
26,1677500363.268826,proxy_step,1,0.0
27,1677500363.2689073,Loss/Train,1,1.2265304327011108
28,1677500363.269082,Acc/Train,1,0.6922000050544739
29,1677500377.9296994,proxy_step,1,0.0
30,1677500377.9298043,Loss/Val,1,0.15387621521949768
31,1677500377.9300556,Acc/Val,1,0.9735999703407288
32,1677500394.046535,proxy_step,2,0.0
33,1677500394.04662,Loss/Train,2,0.5545608997344971
34,1677500394.0469353,Acc/Train,2,0.8497999906539917
35,1677500407.70954,proxy_step,2,0.0
36,1677500407.7096384,Loss/Val,2,0.11084809899330139
37,1677500407.7099574,Acc/Val,2,0.9771999716758728
0,1677500410.5074573,experiment_name/text_summary,0,0.0
1,1677500410.5075967,ds_path/text_summary,0,0.0
2,1677500410.507723,ds_name/text_summary,0,0.0
3,1677500410.5078583,name_fn/text_summary,0,0.0
4,1677500410.5079632,image_size/text_summary,0,0.0
5,1677500410.5081017,batch_size/text_summary,0,0.0
6,1677500410.5081997,epoch_steps/text_summary,0,0.0
7,1677500410.5082865,enable_proxy_attention/text_summary,0,0.0
8,1677500410.508405,change_subset_attention/text_summary,0,0.0
9,1677500410.5085096,num_gpu/text_summary,0,0.0
10,1677500410.508608,num_cpu/text_summary,0,0.0
11,1677500410.5089734,transfer_imagenet/text_summary,0,0.0
12,1677500410.511978,subset_images/text_summary,0,0.0
13,1677500410.5147884,proxy_threshold/text_summary,0,0.0
14,1677500410.5178676,pixel_replacement_method/text_summary,0,0.0
15,1677500410.521096,model/text_summary,0,0.0
